"","Column","Row","Concentration (ng/ul)","Volume for 10ng (ul)","Volume for 60ng (ul)","Volume for 80ng (ul)"
"1","X3","A",11.6973695279166,0.854893057463411,5.12935834478047,6.83914445970729
"2","X4","A",7.48328572936401,1.33631139604366,8.01786837626194,10.6904911683493
"3","X5","A",2.48304890042709,4.0273069121917,24.1638414731502,32.2184552975336
"4","X6","A",14.2042336244478,0.704015455137854,4.22409273082712,5.63212364110283
"5","X7","A",8.48108453446385,1.17909448483432,7.07456690900594,9.43275587867459
"6","X8","A",0.649628729816878,15.3934078667039,92.3604472002235,123.147262933631
"7","X9","A",7.39390544203394,1.3524652267191,8.11479136031458,10.8197218137528
"8","X10","A",0.68167071961445,14.6698394287141,88.0190365722849,117.358715429713
"9","X11","A",19.9493061811353,0.501270565963659,3.00762339578195,4.01016452770927
"10","X12","A",5.42332306948325,1.84388793953092,11.0633276371855,14.7511035162474
"11","X3","B",3.62953378099109,2.75517479748304,16.5310487848983,22.0413983798643
"12","X4","B",2.37539905751068,4.20981896426261,25.2589137855757,33.6785517141009
"13","X5","B",2.70256463754905,3.70018902085131,22.2011341251079,29.6015121668105
"14","X6","B",2.86586635748229,3.48934624041058,20.9360774424635,27.9147699232847
"15","X7","B",3.96485039352183,2.52216326152911,15.1329795691747,20.1773060922329
"16","X8","B",0.674362897379916,14.8288110731666,88.9728664389995,118.630488585333
"17","X9","B",6.12599828434229,1.63238700630384,9.79432203782306,13.0590960504308
"18","X10","B",1.16679768795313,8.57046607415088,51.4227964449053,68.5637285932071
"19","X11","B",1.51841636546859,6.58580889103755,39.5148533462253,52.6864711283004
"20","X12","B",3.35577151728201,2.97994066297441,17.8796439778465,23.8395253037953
"21","X3","C",9.95248643437868,1.00477403972712,6.0286442383627,8.03819231781694
"22","X4","C",3.58793540827144,2.78711817858998,16.7227090715399,22.2969454287199
"23","X5","C",3.55448806804415,2.81334465289188,16.8800679173513,22.5067572231351
"24","X6","C",3.31276779413264,3.01862388837254,18.1117433302353,24.1489911069803
"25","X7","C",0.797752665109163,12.5352135284081,75.2112811704486,100.281708227265
"26","X8","C",1.74074280344999,5.74467404385122,34.4680442631073,45.9573923508098
"27","X9","C",7.24493829648383,1.38027400521179,8.28164403127073,11.0421920416943
"28","X10","C",1.88661817805473,5.30048958306491,31.8029374983894,42.4039166645193
"29","X11","C",0.68869747176304,14.5201636567655,87.1209819405932,116.161309254124
"30","X12","C",10.38477222656,0.962948419265675,5.77769051559405,7.7035873541254
"31","X3","D",6.5107832319991,1.53591352125688,9.21548112754129,12.2873081700551
"32","X4","D",1.61341805451754,6.19802162991805,37.1881297795083,49.5841730393444
"33","X5","D",2.14913763832607,4.65302911347681,27.9181746808609,37.2242329078145
"34","X6","D",1.51448138426538,6.60292038178509,39.6175222907105,52.8233630542807
"35","X7","D",0.669022565746987,14.9471789323498,89.683073594099,119.577431458799
"36","X8","D",2.23851792565614,4.46724142138324,26.8034485282995,35.7379313710659
"37","X9","D",2.5153719603106,3.97555516948881,23.8533310169328,31.8044413559104
"38","X10","D",5.25721064869057,1.9021493845773,11.4128963074638,15.2171950766184
"39","X11","D",0.654125851191975,15.2875780429371,91.7254682576228,122.300624343497
"40","X12","D",0.630515963972712,15.8600266629138,95.1601599774828,126.88021330331
"41","X3","E",3.74955070768902,2.66698620170505,16.0019172102303,21.3358896136404
"42","X4","E",4.34148430868627,2.30335970119537,13.8201582071722,18.426877609563
"43","X5","E",2.24413932737501,4.4560513146468,26.7363078878808,35.6484105171744
"44","X6","E",3.76753919318941,2.65425241443461,15.9255144866076,21.2340193154768
"45","X7","E",5.58184659795545,1.79152182427637,10.7491309456582,14.332174594211
"46","X8","E",0.716804480357402,13.9508056576515,83.7048339459091,111.606445261212
"47","X9","E",3.47241560294861,2.87983961122294,17.2790376673376,23.0387168897835
"48","X10","E",1.01136593042631,9.88761802148585,59.3257081289151,79.1009441718868
"49","X11","E",4.28274066072406,2.33495343103716,14.009720586223,18.6796274482973
"50","X12","E",0.642883047754231,15.554928746267,93.3295724776018,124.439429970136
"51","X3","F",16.7335833278544,0.59760063365234,3.58560380191404,4.78080506921872
"52","X4","F",7.87003816762243,1.27064186818563,7.6238512091138,10.1651349454851
"53","X5","F",3.67956425628906,2.71771310499827,16.3062786299896,21.7417048399862
"54","X6","F",1.01726840223113,9.83024733498796,58.9814840099278,78.6419786799037
"55","X7","F",4.33333327619391,2.30769233812159,13.8461540287295,18.4615387049727
"56","X8","F",0.71511805984174,13.9837050153831,83.9022300922988,111.869640123065
"57","X9","F",4.36003493435855,2.29355960457945,13.7613576274767,18.3484768366356
"58","X10","F",0.68560570081766,14.5856430132858,87.5138580797146,116.685144106286
"59","X11","F",7.07854480560521,1.4127197431994,8.47631845919637,11.3017579455952
"60","X12","F",1.36720065923093,7.31421531468918,43.8852918881351,58.5137225175134
